PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260626;06;2026;8623982;1;4;1;70;;1;668.20733119;47;1;;;;;;;;;1;240;0;4;4;1;2;2;;2;;.;7112;41;4111
20260626;06;2026;8623983;1;2;1;70;;1;954.70452979;47;1;;;;;1;;40;1000000;1;18;1;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623983;1;3;1;70;;1;954.70452979;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623984;1;2;1;70;;1;930.99400367;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623985;1;5;1;70;;1;801.42198412;47;1;;;;;;;;;1;2;0;3;1;4;2;2;;2;;.;5223;47;4771
20260626;06;2026;8623985;1;7;1;70;;1;801.42198412;47;;1;4;1;;;;48;1750905;1;2;0;8;1;4;2;2;;2;;5223;5223;47;4719
20260626;06;2026;8623985;1;8;1;70;;1;801.42198412;47;;1;12;1;;;;44;950000;2;;;;;;;2;;2;;9321;;;
20260626;06;2026;8623986;1;2;1;70;;1;751.1427968;47;1;;;;;;;;;1;240;1;7;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623987;1;1;1;70;;1;693.98129921;47;1;;;;;;;;;1;720;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623987;1;2;1;70;;1;693.98129921;47;1;;;;;;;;;1;456;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623988;1;2;1;70;;1;1058.5385712;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623989;1;1;1;70;;1;884.96356216;47;1;;;;;;;;;1;240;0;4;7;8;2;2;;2;;.;9211;01;0122
20260626;06;2026;8623990;1;2;1;70;;1;1242.2197031;47;1;;;;;;;;;1;240;0;3;7;6;2;2;;2;;.;9211;01;0122
20260626;06;2026;8623990;1;4;1;70;;1;1242.2197031;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623992;1;1;1;70;;1;577.10769009;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623992;1;2;1;70;;1;577.10769009;47;1;;;;;1;;44;1750095;1;84;0;3;4;6;2;2;;2;;.;3253;84;8412
20260626;06;2026;8623994;1;2;1;70;;1;1382.1721028;47;1;;;;;;;;;1;48;0;3;1;2;2;2;;2;;.;5223;47;4771
20260626;06;2026;8623998;1;3;1;70;;1;1471.6256302;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623999;1;2;1;70;;1;1844.5399694;47;1;;;;;;;;;1;120;0;3;4;1;2;2;;2;;.;9111;81;8121
20260626;06;2026;8623999;1;3;1;70;;1;1844.5399694;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623999;1;4;1;70;;1;1844.5399694;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624000;1;3;1;70;;1;1301.6598673;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624001;1;1;1;70;;1;1033.8817993;47;1;;;;;2;5;;860000;1;96;1;4;4;1;2;2;;2;;.;9111;81;8121
20260626;06;2026;8624002;1;2;1;70;;1;1258.5088323;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624002;1;4;1;70;;1;1258.5088323;47;;1;4;4;;;;48;1000000;1;4;2;6;4;2;2;2;;2;;5223;5223;47;4771
20260626;06;2026;8624003;1;2;1;70;;1;893.07663653;70;1;;;;;;;;;1;12;0;6;4;1;2;2;;2;;.;5141;96;9602
20260626;06;2026;8624003;1;3;1;70;;1;893.07663653;70;;1;8;1;;;;48;3000000;1;3;1;8;1;9;2;2;;2;;2142;2142;42;4290
20260626;06;2026;8624005;1;2;1;70;;1;581.44577014;70;;1;20;1;;;;48;3000000;1;12;0;8;1;10;2;2;;2;;5223;3341;47;4741
20260626;06;2026;8624005;1;3;1;70;;1;581.44577014;70;1;;;;;1;;48;1750905;1;5;0;2;1;2;2;2;;2;;.;5223;47;4773
20260626;06;2026;8624006;1;2;1;70;;1;968.92933647;70;1;;;;;;;;;1;5;0;3;4;1;2;2;;2;;.;2166;18;1811
20260626;06;2026;8624007;1;4;1;70;;1;575.14242147;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624008;1;2;1;70;;1;822.37842787;70;;1;1;3;;;;30;600000;1;1;0;3;4;1;2;2;;2;;9111;5120;56;5629
20260626;06;2026;8624009;1;1;1;70;;1;854.5001381;70;;1;10;1;;;;48;1000000;1;5;0;8;1;4;2;2;;2;;5223;5223;47;4771
20260626;06;2026;8624010;1;2;1;70;;1;720.55037936;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624012;1;1;1;70;;1;480.36691957;70;1;;;;;2;5;;800000;1;6;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624014;1;1;1;70;;1;934.04350675;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624014;1;2;1;70;;1;934.04350675;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624015;1;2;1;70;;1;854.5001381;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624016;1;2;1;70;;1;734.56130473;70;;1;16;1;;;;44;1700000;1;6;0;8;7;4;2;2;;2;;7511;7511;01;0145
20260626;06;2026;8624016;1;3;1;70;;1;734.56130473;70;1;;;;;;;;;1;6;0;2;7;4;2;2;;2;;.;6122;01;0145
20260626;06;2026;8624016;1;4;1;70;;1;734.56130473;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624020;1;1;1;70;;1;524.03663953;70;1;;;;;;;;;1;480;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624021;1;1;1;70;;1;569.66675873;70;1;;;;;2;5;;800000;1;4;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624022;1;1;1;70;;1;577.51816826;70;1;;;;;;;;;1;96;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624025;1;1;1;70;;1;480.36691957;70;1;;;;;;;;;1;160;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624025;1;2;1;70;;1;480.36691957;70;1;;;;;;;;;1;160;0;4;4;1;2;2;;2;;.;6114;01;0113
20260626;06;2026;8624026;1;3;1;70;;1;957.31568582;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624027;1;3;1;70;;1;408.36235065;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624029;1;1;1;70;;1;685.29005652;70;1;;;;;;;;;1;160;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624029;1;2;1;70;;1;685.29005652;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624029;1;3;1;70;;1;685.29005652;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624031;1;1;1;70;;1;577.51816826;70;1;;;;;;;;;1;360;0;3;1;6;2;2;;2;;.;9112;85;8530
20260626;06;2026;8624034;1;1;1;70;;1;447.48706741;70;1;;;;;;;;;1;120;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8624034;1;3;1;70;;1;447.48706741;70;1;;;;;2;5;;1500000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624035;1;1;1;70;;1;772.66475817;70;1;;;;;;;;;1;36;0;2;1;3;2;2;;2;;.;5223;47;4771
20260626;06;2026;8624036;1;3;1;70;;1;777.0731752;70;1;;;;;1;;20;400000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624037;1;1;1;70;;1;729.98951618;70;1;;;;;2;5;;1700000;1;2;0;4;4;1;2;2;;2;;.;9313;41;4112
20260626;06;2026;8624040;1;2;1;70;;2;1535.7848436;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8624042;1;2;1;70;;2;1488.8456475;70;1;;;;;;;;;1;48;0;3;3;1;2;2;;2;;.;9111;97;9700
