PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20260626;06;2026;8623912;1;2;1;50;;2;665.25552082;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623913;1;1;1;50;;2;1342.0618128;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;2;;2;;2;;
20260626;06;2026;8623913;1;2;1;50;;2;1342.0618128;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623914;1;1;1;50;;2;918.5566253;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623915;1;1;1;50;;2;2095.4712759;47;1;;1;4;;;2;2;;;;2;2;;;;;;;;;;1;2;;1;1;;8;1
20260626;06;2026;8623916;1;1;1;50;;2;918.5566253;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623917;1;1;1;50;;2;1397.6302459;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623917;1;2;1;50;;2;1397.6302459;47;;1;1;6;EN BOGOTA VISITANDO A UNA HIJA;;2;2;;;;2;2;;;;;;;;;;1;7;;2;;2;;
20260626;06;2026;8623918;1;1;1;50;;2;1658.2867354;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623918;1;2;1;50;;2;1658.2867354;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623918;1;3;1;50;;2;1658.2867354;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623918;1;4;1;50;;2;1658.2867354;47;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623919;1;1;1;50;;2;1307.6542945;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
